FormDesc;FormDoc;FormWidth;FormHeight;FormDisp;Code;CodeDisp;CodeTitle;CodeTop;CodeLeft;CodeWidth;CodeHeight;CodeExercice;CompteMini;CompteMaxi;CompteJournal;CompteType;CompteSideb;CompteSicre;CompteSoustraire;
;;;;t;BB;Immobilisations incorporelles - Autres;Solde Crédit-Débit de : 280 à 2805 2808 à 2809 290 à 2905 2908;252;526;139;26;compteN;290;2905;;solde_credit;f;f;f;
;;;;t;BC;Immobilisations corporelles;Solde Crédit-Débit de : 281 282 291 à 295;282;526;139;26;compteN;291;295;;solde_credit;f;f;f;
;;;;t;BC;Immobilisations corporelles;Solde Crédit-Débit de : 281 282 291 à 295;282;526;139;26;compteN;281;281;;solde_credit;f;f;f;
;;;;t;BC;Immobilisations corporelles;Solde Crédit-Débit de : 281 282 291 à 295;282;526;139;26;compteN;282;282;;solde_credit;f;f;f;
;;;;t;BD;Immobilisations financières;Solde Crédit-Débit de : 296 à 297;312;526;139;26;compteN;296;297;;solde_credit;f;f;f;
;;;;t;BE;TOTAL I;BA + BB + BC + BD;343;526;139;26;formuleN;;;;;;;;
;;;;t;BF;Stocks matières premières, appro., en cours de production;Solde Crédit-Débit de : 39 à 395;373;526;139;26;compteN;39;395;;solde_credit;f;f;f;
;;;;t;BG;Stocks marchandises;Solde Crédit-Débit de : 396 à 397;403;526;139;26;compteN;396;397;;solde_credit;f;f;f;
;;;;t;BH;Avances et acomptes versés sur commandes;;434;526;139;26;compteN;;;;;;;;
;;;;t;BJ;Créances clients et comptes rattachés;Solde Crédit-Débit de : 491;465;526;139;26;compteN;491;491;;solde_credit;f;f;f;
;;;;t;BK;Créances autres;Solde Crédit-Débit de : 495 496;494;526;139;26;compteN;495;496;;solde_credit;f;f;f;
;;;;t;BL;Valeurs mobilières de placement;Solde Crédit-Débit de : 59;525;526;139;26;compteN;59;59;;solde_credit;f;f;f;
;;;;t;BM;Disponibilités;;555;526;139;26;compteN;;;;;;;;
;;;;t;BP;TOTAL III Charges constatées d'avance;;585;526;139;26;compteN;;;;;;;;
;;;;t;BQ;TOTAL II;BF + BG + BH + BJ + BK + BL + BM;615;526;139;26;formuleN;;;;;;;;
;;;;t;BR;TOTAL GENERAL (I + II + III);BE + BQ + BP;646;526;139;26;formuleN;;;;;;;;
;;;;t;CA;Immobilisations incorporelles - Fonds commercial;AA - BA;222;669;139;26;formuleN;;;;;;;;
;;;;t;CB;Immobilisations incorporelles - Autres;AB - BB;252;669;139;26;formuleN;;;;;;;;
;;;;t;CC;Immobilisations corporelles;AC - BC;282;669;139;26;formuleN;;;;;;;;
;;;;t;CD;Immobilisations financières;AD - BD;312;669;139;26;formuleN;;;;;;;;
;;;;t;CE;TOTAL I;CA + CB + CC + CD;343;669;139;26;formuleN;;;;;;;;
;;;;t;CF;Stocks matières premières, appro., en cours de production;AF - BF;373;669;139;26;formuleN;;;;;;;;
;;;;t;CG;Stocks marchandises;AG - BG;403;669;139;26;formuleN;;;;;;;;
;;;;t;CH;Avances et acomptes versés sur commandes;AH - BH;434;669;139;26;formuleN;;;;;;;;
;;;;t;CJ;Créances clients et comptes rattachés;AJ - BJ;465;669;139;26;formuleN;;;;;;;;
;;;;t;CK;Créances autres;AK - BK;494;669;139;26;formuleN;;;;;;;;
;;;;t;CL;Valeurs mobilières de placement;AL - BL;525;669;139;26;formuleN;;;;;;;;
;;;;t;CM;Disponibilités;AM - BM;555;669;139;26;formuleN;;;;;;;;
;;;;t;CP;TOTAL III Charges constatées d'avance;AP - BP;585;669;139;26;formuleN;;;;;;;;
;;;;t;CQ;TOTAL II;CF +CG + CH + CJ + CK + CL + CM;615;669;139;26;formuleN;;;;;;;;
;;;;t;CR;TOTAL GENERAL (I + II + III);CE + CQ + CP;646;669;139;26;formuleN;;;;;;;;
;;;;t;DA;Immobilisations incorporelles - Fonds commercial;AA - BA;222;815;140;26;formuleN1;;;;;;;;
;;;;t;DB;Immobilisations incorporelles - Autres;AB - BB;252;815;140;26;formuleN1;;;;;;;;
;;;;t;DC;Immobilisations corporelles;AC - BC;282;815;140;26;formuleN1;;;;;;;;
;;;;t;DD;Immobilisations financières;AD - BD;312;815;140;26;formuleN1;;;;;;;;
;;;;t;DE;TOTAL I;DA + DB + DC + DD;343;815;140;26;formuleN1;;;;;;;;
;;;;t;DF;Stocks matières premières, appro., en cours de production;AF - BF;373;815;140;26;formuleN1;;;;;;;;
;;;;t;DG;Stocks marchandises;AG - BG;403;815;140;26;formuleN1;;;;;;;;
;;;;t;DH;Avances et acomptes versés sur commandes;AH - BH;434;815;140;26;formuleN1;;;;;;;;
;;;;t;DJ;Créances clients et comptes rattachés;AJ - BJ;465;815;140;26;formuleN1;;;;;;;;
;;;;t;DK;Créances autres;AK - BK;494;815;140;26;formuleN1;;;;;;;;
;;;;t;DL;Valeurs mobilières de placement;AL - BL;525;815;140;26;formuleN1;;;;;;;;
;;;;t;DM;Disponibilités;AM - BM;555;815;140;26;formuleN1;;;;;;;;
;;;;t;DP;TOTAL III Charges constatées d'avance;AP - BP;585;815;140;26;formuleN1;;;;;;;;
;;;;t;DQ;TOTAL II;DF +DG + DH + DJ + DK + DL + DM;615;815;140;26;formuleN1;;;;;;;;
;;;;t;DR;TOTAL GENERAL (I + II + III);DE + DQ + DP;646;815;140;26;formuleN1;;;;;;;;
;;;;t;EB;Autres réserves (dont réserve relative à l'achat d'oeuvres);;829;525;97;26;compteN;;;;;;;;
;;;;t;EE;Solde Crédit-Débit de : 1064;Solde Crédit-Débit de : 455;1102;525;97;26;compteN;455;455;;solde_credit;f;f;f;
;;;;t;FA;Capital social ou individuel;Solde Crédit-Débit de : 101 à 104 108 à 109 et 13;707;672;138;26;compteN;101;104;;solde_credit;f;f;f;
;;;;t;FA;Capital social ou individuel;Solde Crédit-Débit de : 101 à 104 108 à 109 et 13;707;672;138;26;compteN;13;13;;solde_credit;f;f;f;
;;;;t;FA;Capital social ou individuel;Solde Crédit-Débit de : 101 à 104 108 à 109 et 13;707;672;138;26;compteN;108;109;;solde_credit;f;f;f;
;;;;t;FB;Ecarts de réévaluation;Solde Crédit-Débit de : 105 107;737;672;138;26;compteN;107;107;;solde_credit;f;f;f;
;;;;t;FB;Ecarts de réévaluation;Solde Crédit-Débit de : 105 107;737;672;138;26;compteN;105;105;;solde_credit;f;f;f;
;;;;t;FC;Réserve légale;Solde Crédit-Débit de : 106 à 1061;768;672;138;26;compteN;106;1061;;solde_credit;f;f;f;
;;;;t;FD;Réserves réglementées;Solde Crédit-Débit de : 1064;798;672;138;26;compteN;1064;1064;;solde_credit;f;f;f;
;;;;t;FE;Autres réserves;Solde Crédit-Débit de : 1062 à 1063 1065 à 1069;829;672;138;26;compteN;1062;1063;;solde_credit;f;f;f;
;;;;t;FE;Autres réserves;Solde Crédit-Débit de : 1062 à 1063 1065 à 1069;829;672;138;26;compteN;1065;1069;;solde_credit;f;f;f;
;;;;t;FF;Report à nouveau;Solde Crédit-Débit de : 11;859;672;138;26;compteN;11;11;;solde_credit;f;f;f;
;;;;t;FG;Résultat de l'exercice;CR - FA - FB - FC - FD - FE - FF - FH - FK - FR;890;672;138;26;formuleN;;;;;;;;
;;;;t;FH;Provisions réglementées;Solde Crédit-Débit de : 14;920;672;138;26;compteN;14;14;;solde_credit;f;f;f;
