FormDesc;FormDoc;FormWidth;FormHeight;FormDisp;Code;CodeDisp;CodeTitle;CodeTop;CodeLeft;CodeWidth;CodeHeight;CodeExercice;CompteMini;CompteMaxi;CompteJournal;CompteType;CompteSideb;CompteSicre;CompteSoustraire;
;;;;t;BX;Produits financiers (III);Solde Crédit- Débit de : 76 786 796;;;;;compteN;76;76;;solde_credit;f;f;f;
;;;;t;BX;Produits financiers (III);Solde Crédit- Débit de : 76 786 796;;;;;compteN;796;796;;solde_credit;f;f;f;
;;;;t;BX;Produits financiers (III);Solde Crédit- Débit de : 76 786 796;;;;;compteN;786;786;;solde_credit;f;f;f;
;;;;t;BY;Produits exceptionnels (IV);Solde Crédit- Débit de : 77 787 797;;;;;compteN;787;787;;solde_credit;f;f;f;
;;;;t;BY;Produits exceptionnels (IV);Solde Crédit- Débit de : 77 787 797;;;;;compteN;797;797;;solde_credit;f;f;f;
;;;;t;BY;Produits exceptionnels (IV);Solde Crédit- Débit de : 77 787 797;;;;;compteN;77;77;;solde_credit;f;f;f;
;;;;t;BZ;Charges financières (V);Solde Débit-Crédit de : 66 686;;;;;compteN;66;66;;solde_debit;f;f;f;
;;;;t;BZ;Charges financières (V);Solde Débit-Crédit de : 66 686;;;;;compteN;686;686;;solde_debit;f;f;f;
;;;;t;CA;Charges exceptionnelles (VI);Solde Débit-Crédit de : 67 687 691;;;;;compteN;691;691;;solde_debit;f;f;f;
;;;;t;CA;Charges exceptionnelles (VI);Solde Débit-Crédit de : 67 687 691;;;;;compteN;687;687;;solde_debit;f;f;f;
;;;;t;CA;Charges exceptionnelles (VI);Solde Débit-Crédit de : 67 687 691;;;;;compteN;67;67;;solde_debit;f;f;f;
;;;;t;CB;Impôts sur les bénéfices (VII);Solde Débit-Crédit de : 695 à 697 698 699;;;;;compteN;695;697;;solde_debit;f;f;f;
;;;;t;CB;Impôts sur les bénéfices (VII);Solde Débit-Crédit de : 695 à 697 698 699;;;;;compteN;698;698;;solde_debit;f;f;f;
;;;;t;CB;Impôts sur les bénéfices (VII);Solde Débit-Crédit de : 695 à 697 698 699;;;;;compteN;699;699;;solde_debit;f;f;f;
;;;;t;CC;Bénéfice ou perte : produits (I + III + IV) - charges (II + V + VI + VII);BH + BX + BY - BV - BZ - CA - CB;;;;;formuleN;;;;;;;;
;;;;t;CC1;Bénéfice : produits (I + III + IV) - charges (II + V + VI + VII);si CC sup 0 alors CC;;;;;formuleN;;;;;;;;
;;;;t;CC2;Perte : produits (I + III + IV) - charges (II + V + VI + VII);si CC inf 0 alors CC;;;;;formuleN;;;;;;;;
;;;;t;CD;RESULTAT FISCAL (bénéfice :);si CC sup 0 alors CC;;;;;formuleN;;;;;;;;
;;;;t;CM;Résultat fiscal avant imputation des déficits antérieurs (bénéfice :);si CC sup 0 alors CC;;;;;formuleN;;;;;;;;
;;;;t;CP;Résultat financier (III - V);BX - BZ;;;;;formuleN;;;;;;;;
;;;;t;CP1;Résultat financier (III - V) excedent;si CP sup 0 alors CP;;;;;formuleN;;;;;;;;
;;;;t;CP2;Résultat financier (III - V) perte;si CP inf 0 alors CP;;;;;formuleN;;;;;;;;
;;;;t;CQ;Résultat courant avant impôts ( I + III - II - V);BW + CP;;;;;formuleN;;;;;;;;
;;;;t;CQ1;Résultat courant avant impôts ( I + III - II - V) excedent;si CQ sup 0 alors CQ;;;;;formuleN;;;;;;;;
;;;;t;CQ2;Résultat courant avant impôts ( I + III - II - V) perte;si CQ inf 0 alors CQ;;;;;formuleN;;;;;;;;
;;;;t;CR;Résultat exceptionnel;BY - CA;;;;;formuleN;;;;;;;;
;;;;t;CR1;Résultat exceptionnel excedent;si CR sup 0 alors CR;;;;;formuleN;;;;;;;;
;;;;t;CR2;Résultat exceptionnel perte;si CR inf 0 alors CR;;;;;formuleN;;;;;;;;
;;;;t;CS;Total des produits (I + III + IV);BH + BX + BY;;;;;formuleN;;;;;;;;
